,orig_index,what_motivated,what_helpful,what_change,future_topics,days_week,times_day,referral_source,host_name,session_date,session_name,resp_concat_text
122,122,myself and other members of my family have anxiety and i wanted to know how to help,"the breath work, grounding techniques. validation of difficult experiences through the holidays",,burnout,"monday,,wednesday","lunch,,afternoon",pm report,erica,2023-11-13,supporting your loved ones with anxiety or depression as the holidays approach,"myself and other members of my family have anxiety and i wanted to know how to help the breath work, grounding techniques. validation of difficult experiences through the holidays  burnout"
123,123,family members with depression,coping strategies during holidays,nothing,adolescent anxiety,"tuesday,,wednesday,,thursday",lunch,"pm report, wellfocused, limeaid",erica,2023-11-13,supporting your loved ones with anxiety or depression as the holidays approach,family members with depression coping strategies during holidays nothing adolescent anxiety
124,124,my brother suffers from anxiety,"some basic do's and don't's, and the explanation of how anxiety manifests itself and what causes it",allow more time for questions! the speaker only saved 2 minutes at the end and that's way too little,,"monday,,wednesday,,friday",lunch,pm report,erica,2023-11-13,supporting your loved ones with anxiety or depression as the holidays approach,"my brother suffers from anxiety some basic do's and don't's, and the explanation of how anxiety manifests itself and what causes it allow more time for questions! the speaker only saved 2 minutes at the end and that's way too little"
125,125,interest in subject,good tips for handling stressful annoying family,original email had the wrong link. about 12 of us were sitting in room waiting. finally someone sent us the new link. please check that next time.,helping tweens and teens deal with anxiety and stress; financial planning for women,"tuesday,,wednesday,,thursday,,friday",lunch,wellfocused,erica,2023-11-13,supporting your loved ones with anxiety or depression as the holidays approach,interest in subject good tips for handling stressful annoying family original email had the wrong link. about 12 of us were sitting in room waiting. finally someone sent us the new link. please check that next time. helping tweens and teens deal with anxiety and stress; financial planning for women
126,126,my father passed around xmas,coping mechanisms offered and rationale for feelings observed,nothing,adolescent transitions to college,"monday,,tuesday,,wednesday,,thursday",lunch,"pm report, wellfocused, limeaid",erica,2023-11-29,coping with grief during the holidays,my father passed around xmas coping mechanisms offered and rationale for feelings observed nothing adolescent transitions to college
127,127,1 year anniversary of my mother's death,different perspective on grief,nothing,,"wednesday,,thursday,,friday","lunch,,afternoon","pm report, wellfocused",erica,2023-11-29,coping with grief during the holidays,1 year anniversary of my mother's death different perspective on grief nothing
128,128,recent family death,being open to discuss feelings,nothing,how to cope with death from afar,"monday,,tuesday,,wednesday,,thursday,,friday","morning,,afternoon",wellfocused,erica,2023-11-29,coping with grief during the holidays,recent family death being open to discuss feelings nothing how to cope with death from afar
129,129,loss of a loved one,presentation of all of the factors influencing grief and reflection questions,nothing,stress on managers in dealing with poor performance of an employee,tuesdsay,afternoon,limeaid,erica,2023-11-29,coping with grief during the holidays,loss of a loved one presentation of all of the factors influencing grief and reflection questions nothing stress on managers in dealing with poor performance of an employee
130,130,knowledge for patients and families,tips on managing holidays in a new way,,,"wednesday,,thursday,,friday","morning,,lunch",wellfocused,erica,2023-11-29,coping with grief during the holidays,knowledge for patients and families tips on managing holidays in a new way
131,131,,reflection time,time for comments,,"monday,,tuesday,,friday","lunch,,afternoon",pm report,erica,2023-11-29,coping with grief during the holidays,reflection time time for comments
132,132,i just lost my loved one last december 23rd,i didn't make it😔. ill look for other scheduled sessions,,grieving and achieving,wednesday,lunch,wellfocused,erica,2023-11-29,coping with grief during the holidays,i just lost my loved one last december 23rd i didn't make it😔. ill look for other scheduled sessions  grieving and achieving
133,133,stress over holidays,speaker was very knowledgeable,,,,lunch,pm report,erica,2023-12-05,promoting and enhancing positive mood through the winter months,stress over holidays speaker was very knowledgeable
134,134,i tend to get the winter blues each year,the meditation opener was a great primer and then learning mindful strategies was helpful!,"nothing, it worked well from every angle. focused and 30 minutes","maybe creating new habits, more body relaxation techniques",tuesdsay,lunch,pm report,erica,2023-12-05,promoting and enhancing positive mood through the winter months,"i tend to get the winter blues each year the meditation opener was a great primer and then learning mindful strategies was helpful! nothing, it worked well from every angle. focused and 30 minutes maybe creating new habits, more body relaxation techniques"
135,135,"curiosity, stress and health issues",,,,friday,lunch,wellfocused,erica,2023-12-05,promoting and enhancing positive mood through the winter months,"curiosity, stress and health issues"
136,136,general understading of how to deal with conflict,i like the dear man approach.,,,"monday,,tuesday,,wednesday,,thursday","morning,,lunch",penn hr,erica,2023-12-12,promoting conflict resolution in preparation for the holidays,general understading of how to deal with conflict i like the dear man approach.
137,137,the holiday's and being with family.,steps to deescalate situations.,nothing.,not sure,"monday,,tuesday,,friday","morning,,lunch,,afternoon",wellfocused,erica,2023-12-12,promoting conflict resolution in preparation for the holidays,the holiday's and being with family. steps to deescalate situations. nothing. not sure
138,138,family gatherings at the holidays,dear man exercise,nothing-- it was very effective,more communication topics for effective communication- conflict resolution,"monday,,friday","morning,,lunch,,afternoon","pm report, wellfocused",erica,2023-12-12,promoting conflict resolution in preparation for the holidays,family gatherings at the holidays dear man exercise nothing-- it was very effective more communication topics for effective communication- conflict resolution
139,139,holiday anxiety,good techniques to identify feelings behind reactions,nothing,coping techniques,wednesday,afternoon,pm report,erica,2023-12-12,promoting conflict resolution in preparation for the holidays,holiday anxiety good techniques to identify feelings behind reactions nothing coping techniques
140,140,interest in topic,self-soothing ideas,sharing the slides for future reference,,"monday,,tuesday,,thursday,,friday","morning,,lunch,,afternoon",cobalt,erica,2023-12-19,penn parenting_ emotion regulation in parenthood,interest in topic self-soothing ideas sharing the slides for future reference
141,141,interesting topic of relevance to our family,different skills to learn in future situations,nothing,,"monday,,wednesday,,thursday",lunch,pm report,erica,2023-12-19,penn parenting_ emotion regulation in parenthood,interesting topic of relevance to our family different skills to learn in future situations nothing
142,142,i am a new mom recently returning to work,i really appreciated the validation that feeling different emotions are okay and at the same time reframing our thoughts can have a positive impact,,,"monday,,thursday,,friday","morning,,afternoon",wellfoscued,erica,2023-12-19,penn parenting_ emotion regulation in parenthood,i am a new mom recently returning to work i really appreciated the validation that feeling different emotions are okay and at the same time reframing our thoughts can have a positive impact
143,143,topic is relevant for my family,,,,friday,"lunch,,afternoon","pm report, wellfocused",erica,2023-12-19,penn parenting_ emotion regulation in parenthood,topic is relevant for my family
144,144,i'm feeling extremely overwhelmed as a single parent,some tactics to use to calm down,have a handout of the presentation,"single parenting, parenting of children with and w/o special needs (how to divide attention)","tuesday,,thursday","lunch,,afternoon",wellfoscued,erica,2023-12-19,penn parenting_ emotion regulation in parenthood,"i'm feeling extremely overwhelmed as a single parent some tactics to use to calm down have a handout of the presentation single parenting, parenting of children with and w/o special needs (how to divide attention)"
145,145,self improvement,valued living questionnaire,no recommendations,no recommendations at this time.,"tuesday,,wednesday,,thursday,,friday","lunch,,afternoon",wellfocused,erica,2024-01-04,promoting values-based changes in the new year,self improvement valued living questionnaire no recommendations no recommendations at this time.
146,146,saw session detail on cobalt,"yes, different perspective to look into new year resolution",timing can be little bit longer,health related,friday,evening,wellfocused,erica,2024-01-04,promoting values-based changes in the new year,"saw session detail on cobalt yes, different perspective to look into new year resolution timing can be little bit longer health related"
147,147,continuing to evolve,self evaluation and reflection,"daily practice to pause, evaluate, and plan the next steps when needed",,"tuesday,,thursday",lunch,wellfocused,erica,2024-01-04,promoting values-based changes in the new year,"continuing to evolve self evaluation and reflection daily practice to pause, evaluate, and plan the next steps when needed"
148,148,winter is rough for me,,,,thursday,lunch,wellfoocused,erica,2024-01-09,promoting positive affect in the winter months,winter is rough for me
149,149,post covid ptsd,strategies for finding positive feelings and using them in the moment,it would be nice to record it and allow staff to view if they were not allowed to join due to work schedule,reconnecting after covid,wednesday,afternoon,pm report,erica,2024-01-09,promoting positive affect in the winter months,post covid ptsd strategies for finding positive feelings and using them in the moment it would be nice to record it and allow staff to view if they were not allowed to join due to work schedule reconnecting after covid
150,150,self growth,the entire session,no recommendations,no recommendations,tuesday-friday,"lunch,,afternoon",wellfocused,erica,2024-01-09,promoting positive affect in the winter months,self growth the entire session no recommendations no recommendations
151,151,post holiday stress,looking back and remembering and looking forward,,,"tuesday,,wednesday",lunch,pm report,erica,2024-01-09,promoting positive affect in the winter months,post holiday stress looking back and remembering and looking forward
152,152,the title is something i'm interested in,"she normalized the topic, outlining causes and solutions. she had a natural, calming delivery. it was a great way to reset during my lunch break.",maybe some audio (music or soundscapes) during the meditation portion?,managing stress,"tuesday,,thursday",lunch,pm report,erica,2024-01-09,promoting positive affect in the winter months,"the title is something i'm interested in she normalized the topic, outlining causes and solutions. she had a natural, calming delivery. it was a great way to reset during my lunch break. maybe some audio (music or soundscapes) during the meditation portion? managing stress"
153,153,looking for quick tips,got some quick tips!,nothing,procrastination/anxiety,monday-thursday,"lunch,,afternoon",pm report,erica,2024-01-09,promoting positive affect in the winter months,looking for quick tips got some quick tips! nothing procrastination/anxiety
154,154,been feeling stressed.,sense of community; demeanor of host,,,"wednesday,,thursday",lunch,wellfocused,erica,2024-01-09,promoting positive affect in the winter months,been feeling stressed. sense of community; demeanor of host
155,155,the topic,so much,maybe more time?,self sabotage,"monday,,tuesday,,wednesday",morning,wellfocused,erica,2024-01-09,promoting positive affect in the winter months,the topic so much maybe more time? self sabotage
156,156,wanted to see what is offered and if i could access cobalt,easy to access,does it automatically go toward my points in limeade?,"parenting children with trauma, grieving",friday,afternoon,pm report,erica,2024-01-09,promoting positive affect in the winter months,"wanted to see what is offered and if i could access cobalt easy to access does it automatically go toward my points in limeade? parenting children with trauma, grieving"
157,157,child's needs,most suggestions were very helpful,maybe longer to allow the speaker more time to elaborate,,wednesday,"morning,,lunch",pm report,erica,2024-01-16,parents @ penn medicine_ supporting your child with anxiety,child's needs most suggestions were very helpful maybe longer to allow the speaker more time to elaborate
158,158,the ability to learn tools to be helpful in the area discussed for our children.,i liked the cbt suggestion to implement.,it was a lot of information in a short amount of time. maybe divide the topics into two sessions.,,monday-thursday,"morning,,afternoon",wellfocused,erica,2024-01-16,parents @ penn medicine_ supporting your child with anxiety,the ability to learn tools to be helpful in the area discussed for our children. i liked the cbt suggestion to implement. it was a lot of information in a short amount of time. maybe divide the topics into two sessions.
159,159,have a ten year old son,the resources,nothing,,wednesday,lunch,"wellfocused, limeaid",erica,2024-01-16,parents @ penn medicine_ supporting your child with anxiety,have a ten year old son the resources nothing
160,160,hoping to learn new opportunities to improve,,,,monday,lunch,"wellfocused, limeaid",erica,2024-01-16,parents @ penn medicine_ supporting your child with anxiety,hoping to learn new opportunities to improve
161,161,self improvement,the techniques for prioritizing.,no recommendations,no recommendations at this time.,tuesday-friday,"lunch,,afternoon",wellfocused,erica,2024-01-26,sprucing up time management,self improvement the techniques for prioritizing. no recommendations no recommendations at this time.
162,162,looked interesting,dividing the day,nothing,,"tuesday,,wednesday",afternoon,"pm report, wellfocused",erica,2024-01-26,sprucing up time management,looked interesting dividing the day nothing
163,163,"it looked intersting, i can always use help with time management.","many helpful tips, breaking down tasks, and scheduling breaks","nothing, it was great","organization, self care, dealing with difficult people","monday,,wednesday","lunch,,afternoon","wellfocused, limeaid",erica,2024-01-26,sprucing up time management,"it looked intersting, i can always use help with time management. many helpful tips, breaking down tasks, and scheduling breaks nothing, it was great organization, self care, dealing with difficult people"
164,164,the topic of vulnerability sounded very interesting to me. i wanted to explore the topic as it related to my work life.,yes. the topic gave me strategies to deal with stressful situations at work with a new perspective.,no,emotional intelligence,"tuesday,,thursday","lunch,,afternoon",wellfocused,erica,2024-01-26,sprucing up time management,the topic of vulnerability sounded very interesting to me. i wanted to explore the topic as it related to my work life. yes. the topic gave me strategies to deal with stressful situations at work with a new perspective. no emotional intelligence
165,165,want to do more mindfulness for myself and family.,how to do mindfulness,,,tuesday-thursday,"lunch,,afternoon","pm report, wellfocused",erica,2024-02-08,increasing our ability to self-soothe through mindfulness based practices,want to do more mindfulness for myself and family. how to do mindfulness
166,166,very,very thought provoking and gave me insight on how to adapt and change to the suggestions.,thinking first before reacting.,anxiety and how to self help,"monday,thursday,friday","lunch,afternoon",pm report,erica,2024-02-12,improving our relationships_ a focus on listening and communication,very very thought provoking and gave me insight on how to adapt and change to the suggestions. thinking first before reacting. anxiety and how to self help
167,167,the topic of better communication,all of it,nothing - it was packed with great info and presented with skill and grace,dealing with change; being open and present to life,"monday,wednesday,thursday",afternoon,pm report,erica,2024-02-12,improving our relationships_ a focus on listening and communication,the topic of better communication all of it nothing - it was packed with great info and presented with skill and grace dealing with change; being open and present to life
168,168,wanted to improve relationships,effective communicating,nothing,"help for domestic violence survivors, support bi polar child",monday,morning,limeade,erica,2024-02-12,improving our relationships_ a focus on listening and communication,"wanted to improve relationships effective communicating nothing help for domestic violence survivors, support bi polar child"
169,169,trying to strengthen family relationships,the step by step slide about how to have a mindful conversations,"example of a conversation where both are listening to each other, and one where it's the opposite and they're not communicating well","food health, how to add nutrition to your busy life","monday,thursday,friday","lunch,afternoon",pm report,erica,2024-02-12,improving our relationships_ a focus on listening and communication,"trying to strengthen family relationships the step by step slide about how to have a mindful conversations example of a conversation where both are listening to each other, and one where it's the opposite and they're not communicating well food health, how to add nutrition to your busy life"
170,170,useful topic/advice,how-to tips,have time for q&a,anything related to eq,"thursday,friday",lunch,"pm report,wellfocused calendar,limeade",erica,2024-02-12,improving our relationships_ a focus on listening and communication,useful topic/advice how-to tips have time for q&a anything related to eq
171,171,relationship issues,relatable,nothing,relationships,monday,lunch,wellfocused calendar,erica,2024-02-12,improving our relationships_ a focus on listening and communication,relationship issues relatable nothing relationships
172,172,i needed to improve my personal interactions with those around me.,i felt validated by things that were said and i learned how to better navigate difficult interactions,,,thursday,morning,pm report,erica,2024-02-12,improving our relationships_ a focus on listening and communication,i needed to improve my personal interactions with those around me. i felt validated by things that were said and i learned how to better navigate difficult interactions
173,173,interest in the topic - desire to learn new skills,unable to attend,timing - it's difficult to attend in the middle of the day.,"communication, conflict resolution, resilience (self & others)",,"afternoon,evening",limeade,erica,2024-02-12,improving our relationships_ a focus on listening and communication,"interest in the topic - desire to learn new skills unable to attend timing - it's difficult to attend in the middle of the day. communication, conflict resolution, resilience (self & others)"
174,174,topic,short and to the point,make it a seminar so people can't interrupt,,"monday,thursday,friday","lunch,afternoon",pm report,erica,2024-02-12,improving our relationships_ a focus on listening and communication,topic short and to the point make it a seminar so people can't interrupt
175,175,my husband and i could use some help w communication & i welcome learning new tools to facilitate this!,"many things, but thinking actively about listening for understanding vs listening for response really resonated w me.","on my end - wish i was more able to get into the pause/mindfulness aspect of live participation. sometimes midday, i'm just looking for the tips & tools, less able to stop my day.","previous session topics of partner communication & managing anger (i think?) w children were on the mark. i'd be glad for a deeper dive into both of those. also, maybe something on making/building more connected friendships as busy parents/adults.",,,pm report,erica,2024-02-12,improving our relationships_ a focus on listening and communication,"my husband and i could use some help w communication & i welcome learning new tools to facilitate this! many things, but thinking actively about listening for understanding vs listening for response really resonated w me. on my end - wish i was more able to get into the pause/mindfulness aspect of live participation. sometimes midday, i'm just looking for the tips & tools, less able to stop my day. previous session topics of partner communication & managing anger (i think?) w children were on the mark. i'd be glad for a deeper dive into both of those. also, maybe something on making/building more connected friendships as busy parents/adults."
176,176,looking for quick tips,"the 1-2-3 check-in strategy (physiological, emotional, thoughts)",nothing,emotions during communication,"monday,wednesday,friday","morning,lunch,afternoon",pm report,erica,2024-02-12,improving our relationships_ a focus on listening and communication,"looking for quick tips the 1-2-3 check-in strategy (physiological, emotional, thoughts) nothing emotions during communication"
177,177,to make myself a better listner.,"to learn to understand how to deal with not talking all the time, but trying to listen first. b",nothing,,friday,"morning,afternoon",wellfocused calendar,erica,2024-02-12,improving our relationships_ a focus on listening and communication,"to make myself a better listner. to learn to understand how to deal with not talking all the time, but trying to listen first. b nothing"
178,0,personal ptsd,the overview of ptsd,make it an hour instead of only half hour,,"monday,,tuesday,,thursday,,friday","lunch,,afternoon",pm report,lily,2023-06-19,recognizing trauma and ptsd,personal ptsd the overview of ptsd make it an hour instead of only half hour
179,1,depression,mrs. brown is personable and mindful of chat questions.,,,,,"pm report, wellfocused",lily,2023-06-28,family check-in,depression mrs. brown is personable and mindful of chat questions.
180,2,i've attended many talks by dr. lily brown in the past and she keeps me coming back for more.,"dr. lily brown is phenomenal. she backs up her talks with research, but keeps the conversation in everyday language and relatable.",,pregnancy/postpartum related anxiety/depression/stress,"all,days","morning,,lunch,,afternoon","pm report, wellfocused, limeaid",lily,2023-06-28,family check-in,"i've attended many talks by dr. lily brown in the past and she keeps me coming back for more. dr. lily brown is phenomenal. she backs up her talks with research, but keeps the conversation in everyday language and relatable.  pregnancy/postpartum related anxiety/depression/stress"
181,3,,,,,,,,lily,2023-06-28,family check-in,
182,4,i've been feeling depressed.,"the message ""don't be so hard on myself!""",longer time,relationship with partner,monday,lunch,wellfocused,lily,2023-07-06,recovering from family conflict,"i've been feeling depressed. the message ""don't be so hard on myself!"" longer time relationship with partner"
183,5,have to deal with isssues with my parents,,,,"tuesday,,wednesday,,thursday,,friday",all,pm report,lily,2023-07-06,recovering from family conflict,have to deal with isssues with my parents
184,6,,,,,,,,lily,2023-07-14,breaking bad habits,
185,7,needed help with breaking a habit,to think differently,available to review and share with others,other self help techniques,friday,"lunch,,afternoon","wellfocused, limeaid",lily,2023-07-14,breaking bad habits,needed help with breaking a habit to think differently available to review and share with others other self help techniques
186,8,anxiety,everything,nothing is great,,,evening,limeaid,lily,2023-07-14,breaking bad habits,anxiety everything nothing is great
187,9,curious about bad habits versus addiction,,,,friday,morning,pm report,lily,2023-07-14,breaking bad habits,curious about bad habits versus addiction
188,10,a better me,applying to everyday life,,,tuesday,morning,"wellfocused, limeaid",lily,2023-07-14,breaking bad habits,a better me applying to everyday life
189,11,,,,,"monday,,friday",morning,limeaid,lily,2023-07-14,breaking bad habits,
190,12,i thoroughly enjoy dr. brown's sessions! she is so knowledgeable and uses research to back her recommendations for behavior change in a very actionable way.,"i found applicable tips/recommendations and lots of encouragement to make change slowly, one step at a time, and to be gentle with myself along the way.",,pregnancy and postpartum mood changes.,all,all,"pm report, wellfocused, limeaid",lily,2023-07-14,breaking bad habits,"i thoroughly enjoy dr. brown's sessions! she is so knowledgeable and uses research to back her recommendations for behavior change in a very actionable way. i found applicable tips/recommendations and lots of encouragement to make change slowly, one step at a time, and to be gentle with myself along the way.  pregnancy and postpartum mood changes."
191,13,,,,,,afternoon,limeaid,lily,2023-07-14,breaking bad habits,
192,14,to participate in wellfocused program.,to set smaller goals.,no recommendations.,any.,friday,"morning,,lunch,,afternoon",wellfocused,lily,2023-07-14,breaking bad habits,to participate in wellfocused program. to set smaller goals. no recommendations. any.
193,15,some habits i'm interested in breaking. and wellfocused points.,it was useful to provide an intellectual framework for changing bad habits.,"perhaps impractical, but perhaps gathereing info from attendees about what types of behaviors they would like to change and incorporate that a bit more directly in the talk.",,monday,morning,"wellfocused, limeaid",lily,2023-07-14,breaking bad habits,"some habits i'm interested in breaking. and wellfocused points. it was useful to provide an intellectual framework for changing bad habits. perhaps impractical, but perhaps gathereing info from attendees about what types of behaviors they would like to change and incorporate that a bit more directly in the talk."
194,16,,,,,all,"morning,,lunch",limeaid,lily,2023-07-14,breaking bad habits,
195,17,,,,,thursday,afternoon,"wellfocused, limeaid",lily,2023-07-14,breaking bad habits,
196,18,,,,,"tuesday,,friday","lunch,,afternoon",limeaid,lily,2023-07-14,breaking bad habits,
197,19,i find dr. brown's lectures to be very informative and helpful.,,,how anxiety can impact your work performance and steps you can take to mitigate that (partly for larger projects),"monday,,friday","lunch,,afternoon","wellfocused, limeaid",lily,2023-07-14,breaking bad habits,i find dr. brown's lectures to be very informative and helpful.   how anxiety can impact your work performance and steps you can take to mitigate that (partly for larger projects)
198,20,i find dr. lily brown gives practical advice that i can easily apply and learn from in many aspects of mental health! she is excellent!!,connecting the habit to my values--that logical thought process,nothing-- very well done!,,,,"wellfocused, limeaid",lily,2023-07-14,breaking bad habits,i find dr. lily brown gives practical advice that i can easily apply and learn from in many aspects of mental health! she is excellent!! connecting the habit to my values--that logical thought process nothing-- very well done!
199,21,,,,,,,,lily,2023-07-14,breaking bad habits,
200,22,,,,,,,pm report,lily,2023-07-14,breaking bad habits,
201,23,,,,,,,,lily,2023-07-14,breaking bad habits,
202,24,,,,,,,,lily,2023-07-14,breaking bad habits,
203,25,it's relevant to my current needs.,"the validation, and honestly seeing i wasn't the only one who signed up for it.","nothing, for a 30-minute session it covered a lot and gave good tips.",,friday,"lunch,,afternoon",pm report,lily,2023-07-20,building a social network,"it's relevant to my current needs. the validation, and honestly seeing i wasn't the only one who signed up for it. nothing, for a 30-minute session it covered a lot and gave good tips."
204,26,,,,,"monday,,wednesday","morning,,lunch,,afternoon","pm report, wellfocused",lily,2023-07-20,building a social network,
205,27,,,,,"thursday,,friday","morning,,lunch",other,lily,2023-07-20,building a social network,
206,28,timely,very specific actions proposed,,,"tuesday,,wednesday,,thursday",lunch,pm report,lily,2023-07-20,building a social network,timely very specific actions proposed
207,29,just to learn knowledge,,,,"monday,,tuesday,,wednesday,,thursday",lunch,wellfocused,lily,2023-07-20,building a social network,just to learn knowledge
208,30,,,i would send a survey with the name of the session attended. in this case i attended the building a social network course.,,,,,lily,2023-07-20,building a social network,i would send a survey with the name of the session attended. in this case i attended the building a social network course.
209,31,lack of options,nice that it was offered at all,more in depth ; more realistic options,finding a therapist when they're all booked,"monday,,wednesday,,friday","lunch,,evening",pm report,lily,2023-07-20,building a social network,lack of options nice that it was offered at all more in depth ; more realistic options finding a therapist when they're all booked
210,32,i always sign up for dr. brown's lectures,social dynamics and decision making,,belief sytems developed in childhood : how to combat limiting belief,"tuesday,,thursday",lunch,wellfocused,lily,2023-07-20,building a social network,i always sign up for dr. brown's lectures social dynamics and decision making  belief sytems developed in childhood : how to combat limiting belief
211,33,find ways of coping with stress caring for aging parent,,,learning to worry less/relaxation,tuesday,lunch,wellfocused,lily,2023-07-20,building a social network,find ways of coping with stress caring for aging parent   learning to worry less/relaxation
212,34,interest in the topic,lily is wonderful presenter. she is relatable and non-judgmental.,,,"tuesday,,wednesday,,thursday","lunch,,afternoon","friend/colleague, limeaid",lily,2023-07-20,building a social network,interest in the topic lily is wonderful presenter. she is relatable and non-judgmental.
213,35,looking to improve my social network,,anonymous interaction,similar,thursday,afternoon,wellfocused,lily,2023-07-20,building a social network,looking to improve my social network  anonymous interaction similar
214,36,sounded interesting and applicable,,"didn't discuss how to find people to make friends, just how to make sure you keep plans. how do i find people interested in being my friend?",,all,"lunch,,afternoon",pm report,lily,2023-07-20,building a social network,"sounded interesting and applicable  didn't discuss how to find people to make friends, just how to make sure you keep plans. how do i find people interested in being my friend?"
215,37,difficulties with setting boundaries in friendships,it helped me understand my feelings and why i develop certain habits.,,how to break bad habits,"tuesday,,wednesday,,thursday",lunch,pm report,lily,2023-07-20,building a social network,difficulties with setting boundaries in friendships it helped me understand my feelings and why i develop certain habits.  how to break bad habits
216,38,,,,,wednesday,lunch,"wellfocused, limeaid",lily,2023-07-20,building a social network,
217,39,i am introverted. being social can be challenging.,practical advice about handling anticipatory anxiety,,,"monday,,friday",lunch,"wellfocused, limeaid",lily,2023-07-20,building a social network,i am introverted. being social can be challenging. practical advice about handling anticipatory anxiety
218,40,i find these sessions to be very supportive.,support,no recommendations,none specific,all,"morning,,lunch,,afternoon",limeaid,lily,2023-07-20,building a social network,i find these sessions to be very supportive. support no recommendations none specific
219,41,social networking,not cancel out on invitations,,,wednesday,lunch,pm report,lily,2023-07-20,building a social network,social networking not cancel out on invitations
220,42,,,,,all,lunch,"pm report, wellfocused",lily,2023-07-20,building a social network,
221,43,to gain a new perspective.,dr. brown's delivery and organization are excellent. she presents ideas in a unique way and groups information effectively.,nothing,handling criticism,"tuesday,,wednesday,,thursday",lunch,wellfocused,lily,2023-07-20,building a social network,to gain a new perspective. dr. brown's delivery and organization are excellent. she presents ideas in a unique way and groups information effectively. nothing handling criticism
222,44,i've been very busy with school and work. feel like it's been hard to maintain friendships with people from all phases of my life. thought this might help touch on some of these challenges.,"i feel like the talk provided more of a context or normalcy to the topic, more then providing too much specific help. i understand that, as it i'm sure it's very individual specific. but the general advice did not really change my perspective or my intended future actions.",,post grad school plans,friday,lunch,pm report,lily,2023-07-20,building a social network,"i've been very busy with school and work. feel like it's been hard to maintain friendships with people from all phases of my life. thought this might help touch on some of these challenges. i feel like the talk provided more of a context or normalcy to the topic, more then providing too much specific help. i understand that, as it i'm sure it's very individual specific. but the general advice did not really change my perspective or my intended future actions.  post grad school plans"
223,45,,,,,friday,"lunch,,afternoon",pm report,lily,2023-07-20,building a social network,
224,46,desire to improve relationships,,,,thursday,evening,,lily,2023-07-20,building a social network,desire to improve relationships
225,47,,,,,,,,lily,2023-07-20,building a social network,
226,48,,,,,all,"lunch,,afternoon",limeaid,lily,2023-07-20,building a social network,
227,49,the title and duration,examples given,too many generalizations,"1) sleep, 2) coping with work/life balance",friday,"lunch,,afternoon","pm report, wellfocused",lily,2023-07-20,building a social network,"the title and duration examples given too many generalizations 1) sleep, 2) coping with work/life balance"
228,50,i am under a lot of stress between work and home,almost everything that was covered was pretty much common sense.,more in-depth advice and solutions,,"thursday,,friday","morning,,afternoon",wellfocused,lily,2023-07-20,building a social network,i am under a lot of stress between work and home almost everything that was covered was pretty much common sense. more in-depth advice and solutions
229,51,attended a number of dr brown's sessions before and they were always helpful,,,,"all,days","lunch,,afternoon,,evening","pm report, wellfcoused, limeaid",lily,2023-07-24,sleep tips,attended a number of dr brown's sessions before and they were always helpful
230,52,,,,self esteem,,,wellfocused,lily,2023-07-24,sleep tips,self esteem
231,53,,,,,wednesday,morning,limeaid,lily,2023-07-24,sleep tips,
232,54,looking for better sleep,,,,,lunch,wellfocused,lily,2023-07-24,sleep tips,looking for better sleep
233,55,limeade,,,,thursday,afternoon,limeaid,lily,2023-07-24,sleep tips,limeade
234,56,i wake up feeling tired,,,,"all,days",lunch,"pm report, limeaid",lily,2023-07-24,sleep tips,i wake up feeling tired
235,57,coping mechanisms,,,,"all,days","morning,,lunch,,afternoon","pm report, wellfocused",lily,2023-07-24,sleep tips,coping mechanisms
236,58,occasional sleep issues,tips such as stimulus control & limiting time in bed - very usefulimis,,,"monday,,wednesday",lunch,"wellfocused, limeaid",lily,2023-07-24,sleep tips,occasional sleep issues tips such as stimulus control & limiting time in bed - very usefulimis
237,59,interested in improving sleep habits,tips for falling asleep,,"time management, mindfulness","tuesday,,thursday",lunch,limeaid,lily,2023-07-24,sleep tips,"interested in improving sleep habits tips for falling asleep  time management, mindfulness"
238,60,struggled with sleep apnea in the past.,all content was very helpful,nothing,undecided,"monday,,friday",lunch,limeaid,lily,2023-07-24,sleep tips,struggled with sleep apnea in the past. all content was very helpful nothing undecided
239,61,,,,getting a restful night's sleep,wednesday,lunch,,lily,2023-07-24,sleep tips,getting a restful night's sleep
240,62,my sleep is often light and wakeful,tactics to deal with insomnia. not very intuitive so good to know!,"cobalt in general: when cobalt is added to calendar, link is not included so i always need to look it up. would help to include link!",,"monday,,friday",lunch,limeaid,lily,2023-07-24,sleep tips,"my sleep is often light and wakeful tactics to deal with insomnia. not very intuitive so good to know! cobalt in general: when cobalt is added to calendar, link is not included so i always need to look it up. would help to include link!"
241,63,well focus,different things you can try to help you fall asleep.,nothing,,monday,"afternoon,,evening",limeaid,lily,2023-07-24,sleep tips,well focus different things you can try to help you fall asleep. nothing
242,64,,,,elder care,friday,afternoon,wellfocused,lily,2023-07-24,sleep tips,elder care
243,65,stress/lack of sleep/desire for general lifestyle improvement,it was a little more in depth than other sessions,,,"thursday,,friday","morning,,lunch",wellfcoused,lily,2023-07-24,sleep tips,stress/lack of sleep/desire for general lifestyle improvement it was a little more in depth than other sessions
244,66,i want to participate more in the programs offered to improve myself.,that sleep apnea was discussed.,no recommendations.,no recommendations,"wednesday,,thursday,,friday",lunch,wellfocused,lily,2023-07-24,sleep tips,i want to participate more in the programs offered to improve myself. that sleep apnea was discussed. no recommendations. no recommendations
